col0,col1,col2,col3
"La Nature 1893, v. 2",volume,Gaston Tissandier,1893-01-01
"La Nature 1892, v. 1",volume,Gaston Tissandier,1892-01-01
"La Nature 1892, v. 2",volume,Gaston Tissandier,1892-01-01
"La Nature 1891, v. 1",volume,Gaston Tissandier,1891-01-01
"La Nature 1891, v. 2",volume,Gaston Tissandier,1891-01-01
"La Nature 1890, v. 1",volume,Gaston Tissandier,1890-01-01
"La Nature 1880, v. 2",volume,Gaston Tissandier,1880-01-01
"La Nature 1879, v. 1",volume,Gaston Tissandier,1879-01-01
"La Nature 1879, v. 2",volume,Gaston Tissandier,1879-01-01
"La Nature 1878, v. 1",volume,Gaston Tissandier,1878-01-01
"La Nature 1878, v. 2",volume,Gaston Tissandier,1878-01-01
"La Nature 1886, v. 2",volume,Gaston Tissandier,1886-01-01
"La Nature 1885, v. 1",volume,Gaston Tissandier,1885-01-01
"La Nature 1885, v. 2",volume,Gaston Tissandier,1885-01-01
"La Nature 1884, v. 1",volume,Gaston Tissandier,1884-01-01
