col0,col1,col2,col3,col4
Lily Potter,United Kingdom,Lily Evans,James Potter,Geraldine Somerville
Invisible Woman,United States of America,Susan Storm,Mister Fantastic,Kate Mara
Human Torch,United States of America,Jonathan Lowell Spencer Storm,Lyja,Chris Evans
Betty Ross,United States of America,Elizabeth Ross,Hulk,Liv Tyler
Invisible Woman,United States of America,Susan Storm,Mister Fantastic,Jessica Alba
Dr. John Watson,United Kingdom of Great Britain and Ireland,John Hamish Watson,Mary Morstan,Andrei Panin
Wolverine,Canada,James Howlett,Viper,Keith Szarabajka
Dr. John Watson,United Kingdom of Great Britain and Ireland,John Hamish Watson,Mary Morstan,Roland Young
Wolverine,Canada,James Howlett,Viper,Troye Sivan
Indiana Jones,United States of America,Henry Walton Jones Jr.,Marion Ravenwood,George Hall
Wolverine,Canada,James Howlett,Viper,Steve Blum
