col0,col1,col2,col3,col4,col5
Andrés Bello Municipality,Andrés Bello Municipality,30,municipality of Venezuela,202,Trujillo
Acosta,Acosta,773,municipality of Venezuela,957,Monagas
Michelena,Michelena,2076,municipality of Venezuela,135,Táchira
Acevedo,Acevedo,114,municipality of Venezuela,1879,Miranda
Carache,Carache,759,municipality of Venezuela,957,Trujillo
Peña,Peña,381,municipality of Venezuela,510,Yaracuy
Juan Manuel Cajigal,Juan Manuel Cajigal,28,municipality of Venezuela,1741,Anzoátegui
Montes,Montes,229,municipality of Venezuela,1080,Sucre
Las Mercedes,Las Mercedes,163,municipality of Venezuela,7691,Guárico
Guaicaipuro,Guaicaipuro,573,municipality of Venezuela,661,Miranda
Rómulo Gallegos,Rómulo Gallegos,120,municipality of Venezuela,725,Cojedes
Palmasola,Palmasola,37,municipality of Venezuela,194,Falcón
Carirubana,Carirubana,38,municipality of Venezuela,684,Falcón
