col0,col1,col2,col3,col4
Monumento Natural da Pedreira do Avelino,cultural heritage,IUCN category III: Natural Monument or Feature,Castelo,0.017
Monumento Natural da Pedra da Mua,cultural heritage,IUCN category III: Natural Monument or Feature,Castelo,0.0709999
Gruta das Torres,cave,IUCN category III: Natural Monument or Feature,Azores,0.637
Ponta dos Rosais,natural monument,IUCN category III: Natural Monument or Feature,Azores,1.702
Monumento Natural dos Lagosteiros,natural monument,IUCN category III: Natural Monument or Feature,Castelo,0.0509999
Portas de Ródao Natural Monument,natural monument,IUCN category III: Natural Monument or Feature,Santana,9.6534344
Pegadas da Serra de Aire,natural monument,IUCN category III: Natural Monument or Feature,Torres Novas,0.54
Monumento Natural da Pedreira do Avelino,natural monument,IUCN category III: Natural Monument or Feature,Castelo,0.017
Monumento Natural da Pedra da Mua,natural monument,IUCN category III: Natural Monument or Feature,Castelo,0.0709999
Caldeira Velha,natural monument,IUCN category III: Natural Monument or Feature,Azores,0.1315999
