col0,col1,col2,col3
Strathmill,Keith,whisky distillery,United Kingdom
Allt-A-Bhainne,"Strathspey, Scotland",whisky distillery,United Kingdom
Dailuaine,Aberlour,whisky distillery,United Kingdom
Glenallachie distillery,"Strathspey, Scotland",whisky distillery,United Kingdom
Strathclyde Grain distillery,Gorbals,whisky distillery,United Kingdom
Clynelish Distillery,Clynelish,whisky distillery,United Kingdom
Parkmore distillery,Dufftown,whisky distillery,United Kingdom
Bowmore distillery,Bowmore,whisky distillery,United Kingdom
Jura distillery,Jura,whisky distillery,United Kingdom
Talisker,Carbost,whisky distillery,United Kingdom
Kilchoman,Islay,whisky distillery,United Kingdom
Tobermory distillery,Tobermory,trademark,United Kingdom
