col0,col1,col2,col3
Lapland Biosphere Reserve,protected area,Murmansk Oblast,IUCN category Ia: Strict Nature Reserve
Yalta Mountain-Forest Nature Reserve,protected area,Crimean Peninsula,IUCN category Ib: Wilderness Area
Khanka Nature Reserve,protected area,Primorsky Krai,IUCN category Ia: Strict Nature Reserve
Taimyrsky Biosphere Reserve,protected area,Krasnoyarsk Krai,IUCN category Ia: Strict Nature Reserve
Central Forest Nature Reserve,nature reserve,Tver Oblast,IUCN category Ia: Strict Nature Reserve
Ugra National Park,biosphere reserve,Kaluga Oblast,IUCN category II: National Park
Snetogorsko-Murovitskiy Protected Area,natural monument of Russia,Pskov Oblast,IUCN category III: Natural Monument or Feature
Sernovodny Hill,natural monument of Russia,Sergiyevsky District,IUCN category III: Natural Monument or Feature
Kislovodsk National Park,cultural heritage site in Russia,Kislovodsk,IUCN category II: National Park
Smolny National Park,national park of Russia,Republic of Mordovia,IUCN category II: National Park
Sebezhsky National Park,national park of Russia,Pskov Oblast,IUCN category II: National Park
Samarskaya Luka National Park,national park of Russia,Samara Oblast,IUCN category II: National Park
