col0,col1,col2,col3,col4,col5,col6
"D. Morgan, Machynlleth",Thomas Anthony Dean,print,stipple engraving,portrait,David Morgan,David Morgan
"D. Morgan, Machynlleth",Thomas Anthony Dean,print,stipple engraving,portrait,David Morgan,David Morgan
Thos. Middleton,Edward Harding,print,stipple engraving,portrait,Thomas Myddelton,Thomas Myddelton
The Right Honble. Earl of Durham,John Henry Robinson,print,engraving process,portrait,"John Lambton, 1st Earl of Durham","John Lambton, 1st Earl of Durham"
Durham,Henry Bryan Hall,print,stipple engraving,portrait,"John Lambton, 1st Earl of Durham","John Lambton, 1st Earl of Durham"
Captn. James King L.L.D._ F.R.S,Francesco Bartolozzi,print,stipple engraving,portrait,James King,James King
Thomas Killigrew,William Faithorne,print,engraving process,portrait,dog,Thomas Killigrew
Chas. Kemble Esqre,Richard James Lane,print,lithography,portrait,playwright,Charles Kemble
Charles Kemble,Thomas Goff Lupton,print,mezzotint technique,portrait,actor,Charles Kemble
"Sir Fitzroy Kelly, Q.C., M.P",Daniel John Pound,print,stipple engraving,portrait,Fitzroy Kelly,Fitzroy Kelly
Mrs. Jordan,James Heath,print,stipple engraving,portrait,Dorothea Bland,Dorothea Bland
W. E. Jones. Cawrdaf,James Stephenson,print,engraving process,portrait,William Ellis Jones,William Ellis Jones
