col0,col1,col2,col3,col4
2000 Tour du Poitou-Charentes,2000-08-26,2000-08-23,France,road bicycle racing
1999 Tour du Poitou-Charentes,1999-08-27,1999-08-24,France,road bicycle racing
1998 Tour du Poitou-Charentes,1998-08-28,1998-08-24,France,road bicycle racing
1997 Tour du Poitou-Charentes,1997-08-29,1997-08-25,France,road bicycle racing
1996 Tour du Poitou-Charentes,1996-08-31,1996-08-27,France,road bicycle racing
1995 Tour du Poitou-Charentes,1995-08-26,1995-08-22,France,road bicycle racing
1994 Tour du Poitou-Charentes,1994-08-28,1994-08-24,France,road bicycle racing
1993 Tour du Poitou-Charentes,1993-08-29,1993-08-25,France,road bicycle racing
1992 Tour du Poitou-Charentes,1992-08-30,1992-08-25,France,road bicycle racing
1991 Tour du Poitou-Charentes,1991-09-01,1991-08-28,France,road bicycle racing
1988 Tour du Poitou-Charentes,1988-08-28,1988-08-25,France,road bicycle racing
2018 Tour du Poitou-Charentes,2018-08-24,2018-08-21,France,road bicycle racing
2017 Tour du Poitou-Charentes,2017-08-25,2017-08-22,France,road bicycle racing
