col0,col1,col2,col3
Palace of the Republic,Mitte,Germany,1976-01-01
Lausitzhalle Hoyerswerda,Hoyerswerda,Germany,1984-01-01
Maison de la Culture de Grenoble,Grenoble,France,1968-01-01
Kaunas Cultural Centre of Various Nations,Kaunas,Lithuania,2004-04-30
Soldier House in Jaroslaw,Jarosław,Poland,1926-01-01
Zgorzelec House of Culture,Zgorzelec,Poland,1902-01-01
Palace of Culture and Science,Śródmieście,Poland,1955-07-22
József Attila Cultural and Conference Centre,Salgótarján,Hungary,1966-01-01
VDNKh House of Culture,Moscow,Soviet Union,1954-01-01
Kulturpalast Siegmar,Rabenstein,Germany,1949-01-01
Freizeitforum Marzahn,Marzahn-Hellersdorf,Germany,1992-01-01
