col0,col1,col2,col3,col4,col5,col6,col7
Tillman County,Frederick,7711,0.9,1907-01-01,Frederick,"Benjamin Ryan Tillman, Jr.",United States of America
Harmon County,Hollis,2869,0.3,1909-01-01,Hollis,Judson Harmon,United States of America
Canadian County,El Reno,126123,1,1889-01-01,El Reno,Canadian River,United States of America
Ottawa County,Miami,32245,2.8,1907-01-01,Miami,Odawa people,United States of America
Dewey County,Taloga,4844,0.9,1892-01-01,Taloga,George Dewey,United States of America
Blaine County,Watonga,9720,1.1,1892-01-01,Watonga,James G. Blaine,United States of America
Roger Mills County,Cheyenne,3743,0.4,1892-04-19,Cheyenne,Roger Q. Mills,United States of America
Sequoyah County,Sallisaw,41218,5.7,1907-01-01,Sallisaw,Sequoyah,United States of America
Jackson County,Altus,26088,0.2,1907-07-16,Altus,Stonewall Jackson,United States of America
Bryan County,Durant,44244,4.2,1907-07-16,Durant,William Jennings Bryan,United States of America
