col0,col1,col2,col3,col4,col5
Adrastus,Deipyle,Talaus,Eurynome,human who may be fictional,Amphithea
Phineus,Plexippus,Poseidon,Telephassa,king in Greek mythology,Cleopatra
Alcmaeon,Clytius,Amphiaraus,Eriphyle,king in Greek mythology,Alphesiboea
Phineus,Plexippus,Poseidon,Telephassa,human who may be fictional,Cleopatra
Pasiphaë,Minotaur,Helios,Perse,king in Greek mythology,Minos
Ariadne,Oenopion,Minos,Pasiphaë,king in Greek mythology,Dionysus
Leda,Clytemnestra,Thestius,Deidamia,king in Greek mythology,Tyndareus
Alcaeus,Amphitryon,Perseus,Andromeda,king in Greek mythology,Astydameia
Sisyphus,Odysseus,Aiolos,Enarete,king in Greek mythology,Merope
Odysseus,Telemachus,Laertes,Anticlea,king in Greek mythology,Penelope
Ariadne,Oenopion,Minos,Pasiphaë,human who may be fictional,Dionysus
Sisyphus,Odysseus,Aiolos,Enarete,human who may be fictional,Merope
Odysseus,Telemachus,Laertes,Anticlea,human who may be fictional,Penelope
Adrastus,Aegiale,Talaus,Eurynome,king in Greek mythology,Amphithea
Pasiphaë,Ariadne,Helios,Crete,king in Greek mythology,Minos
