col0,col1,col2,col3,col4,col5,col6
Kasese District,district of Uganda,Uganda,Kasese,2724,Runyankole language,Kasese
Kaberamaido District,district of Uganda,Uganda,Kaberamaido,1788.5,Teso,Kaberamaido
Bugiri District,district of Uganda,Uganda,Bugiri,5700.93,Soga,Bugiri
Bushenyi District,district of Uganda,Uganda,Bushenyi,942.3,Runyankole language,Bushenyi
Adjumani District,district of Uganda,Uganda,Adjumani,3030.9,Ma'di,Adjumani
Kumi District,district of Uganda,Uganda,Kumi Town,2820.68,Teso,Kumi Town
Mbarara District,district of Uganda,Uganda,Mbarara,1846.4,Runyankole language,Mbarara
Kanungu District,district of Uganda,Uganda,Kanungu,1274,Kiga language,Kanungu
Masindi District,district of Uganda,Uganda,Masindi,9442.9,Nyoro,Masindi
Gulu District,district of Uganda,Uganda,Gulu,3452.1,Acholi dialect,Gulu
Jinja District,district of Uganda,Uganda,Jinja,767.7,Soga,Jinja
