col0,col1,col2,col3,col4
hypoparathyroidism-deafness-renal disease syndrome,GATA3,medical genetics,chromosomal deletion syndrome,rare disease
Sturge–Weber syndrome,GNAQ,medical genetics,phakomatosis,rare disease
MELAS syndrome,ND5,neurology,mitochondrial encephalomyopathy,disease
hypoparathyroidism-deafness-renal disease syndrome,GATA3,medical genetics,chromosomal deletion syndrome,disease
Muir-Torre syndrome,MSH2,oncology,Lynch syndrome,head and neck disease
von Hippel-Lindau disease,VHL,medical genetics,catecholamine-producing tumor,developmental defect during embryogenesis
Muir-Torre syndrome,MSH2,oncology,Lynch syndrome,disease
CHARGE syndrome,CHD7,medical genetics,syndrome,head and neck disease
prolactinoma,AIP,oncology,functioning pituitary adenoma,head and neck disease
Muir-Torre syndrome,MSH2,oncology,benign neoplasm of sebaceous gland,head and neck disease
CHARGE syndrome,CHD7,medical genetics,syndrome,designated intractable/rare diseases
prolactinoma,AIP,oncology,functioning pituitary adenoma,designated intractable/rare diseases
CHARGE syndrome,CHD7,medical genetics,syndrome,rare disease
