col0,col1,col2,col3
The Epiphany,Christianity,oak,1494-01-01
Mérode Altarpiece,Christianity,oak,1430-01-01
Adoration of the Magi Triptych,Christianity,panel,1470-01-01
Triptych of Vienne,Christianity,panel,1485-01-01
Triptych,Christianity,panel,1464-01-01
Annunciation Triptych,Christianity,panel,1434-01-01
Epitaph of Nikolaas Rockox and his Wife Adriana Perez,Christianity,panel,1613-01-01
Donne Triptych,Christianity,panel,1478-01-01
St John Altarpiece,Christianity,panel,1479-01-01
Portinari Altarpiece,Christianity,panel,1475-01-01
