col0,col1,col2,col3,col4,col5,col6,col7
Breakthrough: Chloroquine phosphate has shown apparent efficacy in treatment of COVID-19 associated pneumonia in clinical studies,scientific article,chloroquine,Breakthrough: Chloroquine phosphate has shown apparent efficacy in treatment of COVID-19 associated pneumonia in clinical studies,2020-02-19,English,2,Anti-malaria drug chloroquine is highly effective in treating avian influenza A H5N1 virus infection in an animal model.
Chloroquine for the 2019 novel coronavirus SARS-CoV-2,scientific article,chloroquine,Chloroquine for the 2019 novel coronavirus SARS-CoV-2,2020-02-01,English,2,Chloroquine is a potent inhibitor of SARS coronavirus infection and spread.
"WikiJournal of Medicine, the first Wikipedia-integrated academic journal",scientific article,Wikipedia,"WikiJournal of Medicine, the first Wikipedia-integrated academic journal",2017-01-15,English,3,Identifying featured articles in wikipedia: writing style matters
Breakthrough: Chloroquine phosphate has shown apparent efficacy in treatment of COVID-19 associated pneumonia in clinical studies,scientific article,pneumonia,Breakthrough: Chloroquine phosphate has shown apparent efficacy in treatment of COVID-19 associated pneumonia in clinical studies,2020-02-19,English,2,Anti-malaria drug chloroquine is highly effective in treating avian influenza A H5N1 virus infection in an animal model.
Insights into abdominal pregnancy,scientific article,abdominal pregnancy,Insights into abdominal pregnancy,2014-01-01,English,3,Role of serial MRI assessment in the management of an abdominal pregnancy.
Breakthrough: Chloroquine phosphate has shown apparent efficacy in treatment of COVID-19 associated pneumonia in clinical studies,scientific article,COVID-19,Breakthrough: Chloroquine phosphate has shown apparent efficacy in treatment of COVID-19 associated pneumonia in clinical studies,2020-02-19,English,2,Effects of chloroquine on viral infections: an old drug against today's diseases?
Analysis of Plasmodium falciparum diversity in natural infections by deep sequencing,scientific article,malaria,Analysis of Plasmodium falciparum diversity in natural infections by deep sequencing,2012-07-19,English,5,Artemisinin Resistance in Plasmodium falciparum Malaria
SnoopCGH: software for visualizing comparative genomic hybridization data,scientific article,bioinformatics,SnoopCGH: software for visualizing comparative genomic hybridization data,2009-10-15,English,2,Phenotypic variations on the theme of CNVs
A fielded wiki for personality genetics,scientific article,wiki,A fielded wiki for personality genetics,2010-07-01,English,2,Lost in localization: the need for a universal coordinate database.
SnoopCGH: software for visualizing comparative genomic hybridization data,scientific article,bioinformatics,SnoopCGH: software for visualizing comparative genomic hybridization data,2009-10-15,English,2,MSB: a mean-shift-based approach for the analysis of structural variation in the genome.
Bioinformatics for the NuGO proof of principle study: analysis of gene expression in muscle of ApoE3*Leiden mice on a high-fat diet using PathVisio,scientific article,gene expression,Bioinformatics for the NuGO proof of principle study: analysis of gene expression in muscle of ApoE3*Leiden mice on a high-fat diet using PathVisio,2008-12-01,English,2,Skeletal muscle triglyceride. An aspect of regional adiposity and insulin resistance.
