col0,col1,col2,col3,col4,col5,col6,col7
RETRACTED: Ramosetron for Preventing Postoperative Nausea and Vomiting in Women Undergoing Gynecological Surgery,RETRACTED: Ramosetron for Preventing Postoperative Nausea and Vomiting in Women Undergoing Gynecological Surgery,postoperative nausea and vomiting,retracted paper,Yoshitaka Fujii,2000-02-01,Anesthesia & Analgesia,English
RETRACTED: Comparison of Ramosetron and Granisetron for Preventing Postoperative Nausea and Vomiting After Gynecologic Surgery,RETRACTED: Comparison of Ramosetron and Granisetron for Preventing Postoperative Nausea and Vomiting After Gynecologic Surgery,postoperative nausea and vomiting,retracted paper,Yoshitaka Fujii,1999-08-01,Anesthesia & Analgesia,English
RETRACTED: Granisetron/Dexamethasone Combination for Reducing Nausea and Vomiting During and After Spinal Anesthesia for Cesarean Section,RETRACTED: Granisetron/Dexamethasone Combination for Reducing Nausea and Vomiting During and After Spinal Anesthesia for Cesarean Section,dexamethasone,retracted paper,Yoshitaka Fujii,1999-06-01,Anesthesia & Analgesia,English
RETRACTED: Ramosetron for Preventing Postoperative Nausea and Vomiting in Women Undergoing Gynecological Surgery,RETRACTED: Ramosetron for Preventing Postoperative Nausea and Vomiting in Women Undergoing Gynecological Surgery,postoperative nausea and vomiting,scientific article,Yoshitaka Fujii,2000-02-01,Anesthesia & Analgesia,English
RETRACTED: Comparison of Ramosetron and Granisetron for Preventing Postoperative Nausea and Vomiting After Gynecologic Surgery,RETRACTED: Comparison of Ramosetron and Granisetron for Preventing Postoperative Nausea and Vomiting After Gynecologic Surgery,postoperative nausea and vomiting,scientific article,Yoshitaka Fujii,1999-08-01,Anesthesia & Analgesia,English
RETRACTED: Detection of in patients with leprosy in India,Detection of in patients with leprosy in India,pharmacology,retracted paper,Ravindra P Turankar,2018-01-01,Infection and Drug Resistance,English
RETRACTED: Cardiovascular responses to tracheal extubation or LMA removal in normotensive and hypertensive patients,RETRACTED ARTICLE: Cardiovascular responses to tracheal extubation or LMA removal in normotensive and hypertensive patients,circulatory system,retracted paper,Yoshitaka Fujii,1997-10-01,Canadian Journal of Anaesthesia,English
RETRACTED: Detection of in patients with leprosy in India,Detection of in patients with leprosy in India,pharmacology,scientific article,Ravindra P Turankar,2018-01-01,Infection and Drug Resistance,English
RETRACTED: Cardiovascular responses to tracheal extubation or LMA removal in normotensive and hypertensive patients,RETRACTED ARTICLE: Cardiovascular responses to tracheal extubation or LMA removal in normotensive and hypertensive patients,circulatory system,scientific article,Yoshitaka Fujii,1997-10-01,Canadian Journal of Anaesthesia,English
"RETRACTED: Granisetron, droperidol, and metoclopramide for preventing postoperative nausea and vomiting after thyroidectomy.","RETRACTED: Granisetron, droperidol, and metoclopramide for preventing postoperative nausea and vomiting after thyroidectomy.",postoperative nausea and vomiting,retracted paper,Yoshitaka Fujii,1999-04-01,The Laryngoscope,English
RETRACTED: Granisetron/dexamethasone combination for reducing nausea and vomiting during and after spinal anesthesia for cesarean section.,RETRACTED: Granisetron/dexamethasone combination for reducing nausea and vomiting during and after spinal anesthesia for cesarean section.,cesarean section,retracted paper,Yoshitaka Fujii,1999-06-01,Anesthesia & Analgesia,English
RETRACTED: Prophylactic therapy with combined granisetron and dexamethasone for the prevention of post-operative vomiting in children.,RETRACTED: Prophylactic therapy with combined granisetron and dexamethasone for the prevention of post-operative vomiting in children.,dexamethasone,retracted paper,Yoshitaka Fujii,1999-06-01,European Journal of Anaesthesiology,English
RETRACTED: Comparison of ramosetron and granisetron for preventing postoperative nausea and vomiting after gynecologic surgery.,RETRACTED: Comparison of ramosetron and granisetron for preventing postoperative nausea and vomiting after gynecologic surgery.,postoperative nausea and vomiting,retracted paper,Yoshitaka Fujii,1999-08-01,Anesthesia & Analgesia,English
"RETRACTED: Granisetron, droperidol, and metoclopramide for the treatment of established postoperative nausea and vomiting in women undergoing gynecologic surgery.","RETRACTED: Granisetron, droperidol, and metoclopramide for the treatment of established postoperative nausea and vomiting in women undergoing gynecologic surgery.",postoperative nausea and vomiting,retracted paper,Yoshitaka Fujii,2000-01-01,American Journal of Obstetrics and Gynecology,English
