col0,col1,col2,col3
zoomorphic aryballos-MAHG MF 0118,Musée d'Art et d'Histoire,monkey,item of collection or exhibition
zoomorphic aryballos-MAHG MF 0092,Musée d'Art et d'Histoire,monkey,statuette
zoomorphic aryballos-MAHG MF 0117,Musée d'Art et d'Histoire,monkey,statuette
zoomorphic aryballos-MAHG MF 0118,Musée d'Art et d'Histoire,monkey,statuette
aryballos-CA 2517,"Department of Greek, Etruscan, and Roman Antiquities of the Louvre",Phales,sculpture
Aryballos-CA 931,"Department of Greek, Etruscan, and Roman Antiquities of the Louvre",dog,aryballos
aryballos-CA 2517,"Department of Greek, Etruscan, and Roman Antiquities of the Louvre",Phales,aryballos
zoomorphic aryballos-MAHG MF 0092,Musée d'Art et d'Histoire,monkey,aryballos
zoomorphic aryballos-MAHG MF 0117,Musée d'Art et d'Histoire,monkey,aryballos
zoomorphic aryballos-MAHG MF 0118,Musée d'Art et d'Histoire,monkey,aryballos
"Musée Saint-Raymond, D 69 2 52",Musée Saint-Raymond,swan,aryballos
