col0,col1,col2,col3
The Sensual World,Kate Bush,1989-10-16,Grammy Award for Best Alternative Music Album
R.O.O.T.S.,Dr. Luke,2009-03-31,Grammy Award for Best Rap Album
Late Registration,Kanye West,2005-08-30,NAACP Image Award for Outstanding Album
Mercury Falling,Sting,1996-03-08,Grammy Award for Best Pop Vocal Album
Late Registration,Kanye West,2005-08-30,Grammy Award for Album of the Year
T.I. vs. T.I.P.,Eminem,2007-07-03,American Music Award for Favorite Rap/Hip-Hop Album
These Are Special Times,David Foster,1998-10-30,Juno Award for International Album of the Year
Silver Side Up,Nickelback,2001-09-11,Juno Award for Album of the Year
These Are Special Times,David Foster,1998-10-30,Juno Award for Album of the Year
T.I. vs. T.I.P.,Eminem,2007-07-03,Grammy Award for Best Rap Album
21,Rick Rubin,2011-01-24,Favorite Pop/Rock Album
