col0,col1,col2,col3,col4,col5
2007 Badminton World Championships – Men's Doubles,Markis Kido,badminton,Malaysia,WikiProject Badminton/tournament focus list,2007-08-13
2007 Badminton World Championships – Women's Doubles,Yang Wei,badminton,Malaysia,WikiProject Badminton/tournament focus list,2007-08-13
2007 Badminton World Championships – Women's Singles,Zhu Lin,badminton,Malaysia,WikiProject Badminton/tournament focus list,2007-08-13
2009 Badminton World Championships – Men's Singles,Lin Dan,badminton,India,WikiProject Badminton/tournament focus list,2009-08-10
2009 Badminton World Championships – Men's Doubles,Fu Haifeng,badminton,India,WikiProject Badminton/tournament focus list,2009-08-10
2009 Badminton World Championships – Mixed Doubles,Thomas Laybourn,badminton,India,WikiProject Badminton/tournament focus list,2009-08-10
2009 Badminton World Championships – Women's Doubles,Zhang Yawen,badminton,India,WikiProject Badminton/tournament focus list,2009-08-10
1980 Badminton World Championships – Men's singles,Rudy Hartono,badminton,Indonesia,WikiProject Badminton/tournament focus list,1980-05-27
1980 Badminton World Championships – Mixed Doubles,Christian Hadinata,badminton,Indonesia,WikiProject Badminton/tournament focus list,1980-05-27
1989 Badminton World Championships – Women's Singles,Li Lingwei,badminton,Indonesia,WikiProject Badminton/tournament focus list,1989-05-29
1989 Badminton World Championships – Women's Doubles,Lin Ying,badminton,Indonesia,WikiProject Badminton/tournament focus list,1989-05-29
1989 Badminton World Championships – Men's Doubles,Li Yongbo,badminton,Indonesia,WikiProject Badminton/tournament focus list,1989-05-29
1980 Badminton World Championships – Men's Doubles,Ade Chandra,badminton,Indonesia,WikiProject Badminton/tournament focus list,1980-05-27
