col0,col1,col2,col3,col4,col5,col6
Big Red,Edward Colman,Canada,Norman Tokar,Walt Disney Studios Motion Pictures,Carroll Clark,Big Red
Old Yeller,Charles P. Boyle,Texas,Robert Stevenson,Walt Disney Studios Motion Pictures,Carroll Clark,Old Yeller
Johnny Tremain,Charles P. Boyle,Boston,Robert Stevenson,Walt Disney Studios Motion Pictures,Carroll Clark,Johnny Tremain
The Gnome-Mobile,Edward Colman,California,Robert Stevenson,Walt Disney Studios Motion Pictures,Carroll Clark,The Gnome-Mobile
The Light in the Forest,Ellsworth Fredericks,Pennsylvania,Herschel Daugherty,Walt Disney Studios Motion Pictures,Carroll Clark,The Light in the Forest
Kidnapped,Alan Hume,Scotland,Robert Stevenson,Walt Disney Studios Motion Pictures,Carmen Dillon,Kidnapped
Herbie Goes to Monte Carlo,Leonard J. South,Paris,Vincent McEveety,Walt Disney Studios Motion Pictures,Perry Ferguson,Herbie Goes to Monte Carlo
Swiss Family Robinson,Harry Waxman,Oceania,Ken Annakin,Walt Disney Studios Motion Pictures,John Hoesli,Swiss Family Robinson
"Davy Crockett, King of the Wild Frontier",Charles P. Boyle,Tennessee,Norman Foster,Walt Disney Studios Motion Pictures,Marvin Aubrey Davis,"Davy Crockett, King of the Wild Frontier"
Bon Voyage!,William E. Snyder,France,James Neilson,Walt Disney Studios Motion Pictures,Marvin Aubrey Davis,Bon Voyage!
The Moon-Spinners,Michael Reed,Greece,James Neilson,Walt Disney Studios Motion Pictures,Anthony Masters,The Moon-Spinners
