col0,col1,col2,col3,col4
MTELUS,Ville-Marie,Canada,Downtown Montreal,music venue
Marga-Lichtspiele,Mitte,Germany,Wedding,karaoke box
MTELUS,Ville-Marie,Canada,Downtown Montreal,nightclub
The Prince of Wales,Cardiff,United Kingdom,Cardiff city centre,pub
Atlantik Kino,Karlsruhe,Germany,Mühlburg,adult movie theater
Marga-Lichtspiele,Mitte,Germany,Wedding,adult movie theater
Schiller-Lichtspiele,Charlottenburg-Wilmersdorf,Germany,Charlottenburg,adult movie theater
Xenon,Tempelhof-Schöneberg,Germany,Berlin-Schöneberg,adult movie theater
Mali,Tempelhof-Schöneberg,Germany,Mariendorf,adult movie theater
Venus Theater,Manhattan,United States of America,Midtown Manhattan,adult movie theater
Grand Pussycat Cinema,Manhattan,United States of America,Midtown Manhattan,adult movie theater
"David Cinema, 238 West 55th Street",Manhattan,United States of America,Midtown Manhattan,adult movie theater
"David Cinema, 236 West 54th Street",Manhattan,United States of America,Midtown Manhattan,adult movie theater
Carnegie Hall Cinema,Manhattan,United States of America,Midtown Manhattan,adult movie theater
Cinema Kings Highway,Brooklyn,United States of America,Ocean Parkway,adult movie theater
