col0,col1,col2,col3,col4,col5,col6
2002 Hungarian Badminton Championships,2001 Hungarian Badminton Championships,Hungarian Badminton Championships,national championship,2002-01-01,WikiProject Badminton/tournament focus list,badminton
2001 Hungarian Badminton Championships,2000 Hungarian Badminton Championships,Hungarian Badminton Championships,national championship,2001-01-01,WikiProject Badminton/tournament focus list,badminton
2000 Hungarian Badminton Championships,1999 Hungarian Badminton Championships,Hungarian Badminton Championships,national championship,2000-01-01,WikiProject Badminton/tournament focus list,badminton
1999 Hungarian Badminton Championships,1998 Hungarian Badminton Championships,Hungarian Badminton Championships,national championship,1999-01-01,WikiProject Badminton/tournament focus list,badminton
1998 Hungarian Badminton Championships,1997 Hungarian Badminton Championships,Hungarian Badminton Championships,national championship,1998-01-01,WikiProject Badminton/tournament focus list,badminton
1997 Hungarian Badminton Championships,1996 Hungarian Badminton Championships,Hungarian Badminton Championships,national championship,1997-01-01,WikiProject Badminton/tournament focus list,badminton
1996 Hungarian Badminton Championships,1995 Hungarian Badminton Championships,Hungarian Badminton Championships,national championship,1996-01-01,WikiProject Badminton/tournament focus list,badminton
1995 Hungarian Badminton Championships,1994 Hungarian Badminton Championships,Hungarian Badminton Championships,national championship,1995-01-01,WikiProject Badminton/tournament focus list,badminton
1994 Hungarian Badminton Championships,1993 Hungarian Badminton Championships,Hungarian Badminton Championships,national championship,1994-01-01,WikiProject Badminton/tournament focus list,badminton
1993 Hungarian Badminton Championships,1992 Hungarian Badminton Championships,Hungarian Badminton Championships,national championship,1993-01-01,WikiProject Badminton/tournament focus list,badminton
1992 Hungarian Badminton Championships,1991 Hungarian Badminton Championships,Hungarian Badminton Championships,national championship,1992-01-01,WikiProject Badminton/tournament focus list,badminton
1991 Hungarian Badminton Championships,1990 Hungarian Badminton Championships,Hungarian Badminton Championships,national championship,1991-01-01,WikiProject Badminton/tournament focus list,badminton
