col0,col1,col2,col3,col4,col5
Sesto ed Uniti,Cremona,3213,Italy,52,Comune sparso
Monrupino,Trieste,883,Italy,418,border town
Castiraga Vidardo,Sant'Angelo Lodigiano,2836,Italy,74,comune of Italy
Casanova Lerrone,Borghetto d'Arroscia,739,Italy,256,Comune sparso
Arnasco,Vendone,632,Italy,250,Comune sparso
Val di Chy,Castellamonte,1216,Italy,610,Comune sparso
Borgo Chiese,Bagolino,2015,Italy,444,Comune sparso
Ventasso,Sillano Giuncugnano,4218,Italy,810,Comune sparso
Primiero San Martino di Castrozza,Sagron Mis,5398,Italy,710,Comune sparso
San Lorenzo Dorsino,Andalo,1562,Italy,758,Comune sparso
Fiscaglia,Codigoro,8898,Italy,3,Comune sparso
Casciana Terme Lari,Ponsacco,12444,Italy,127,Comune sparso
