col0,col1,col2,col3,col4,col5
Rancho Petaluma Adobe,United States of America,Petaluma,National Historic Landmark,Sonoma County,California state park
James Cant Ranch,United States of America,Dayville,place listed on the National Register of Historic Places,Grant County,historic district
Sod House Ranch,United States of America,Burns,place listed on the National Register of Historic Places,Harney County,historic district
P Ranch,United States of America,Frenchglen,place listed on the National Register of Historic Places,Harney County,historic district
Imperial Stock Ranch Headquarters Complex,United States of America,Shaniko,place listed on the National Register of Historic Places,Wasco County,agricultural structure
Rancho Petaluma Adobe,United States of America,Petaluma,National Historic Landmark,Sonoma County,historic house
James Cant Ranch,United States of America,Dayville,place listed on the National Register of Historic Places,Grant County,ensemble
Diamond A Ranch,United States of America,Roswell,place listed on the National Register of Historic Places,Chaves County,ranch
St. Anne Ranch,Canada,Trochu,Alberta provincial historic resource,Kneehill County,ranch
E.P. Ranch,Canada,High River,Alberta provincial historic resource,Foothills County,ranch
Circle L Ranch,Canada,Claresholm,Alberta provincial historic resource,Willow Creek No. 26,ranch
Beaver Creek Ranch Headquarters,United States of America,Buffalo,place listed on the National Register of Historic Places,Johnson County,ranch
James Cant Ranch,United States of America,Dayville,place listed on the National Register of Historic Places,Grant County,ranch
