col0,col1,col2,col3,col4
Comme des Garçons,fashion,Japan,1969-01-01,Tokyo
Drip Creationz,fashion,United States of America,2017-03-01,Riverside
Marithé + François Girbaud,clothing,France,1972-01-01,Neuilly-sur-Seine
Zara,textile industry,Spain,1975-01-01,A Coruña
JAG,clothing industry,Australia,1972-01-01,Sydney
Sportscraft,clothing industry,Australia,1914-01-01,Sydney
JAG,textile industry,Australia,1972-01-01,Sydney
Sportscraft,textile industry,Australia,1914-01-01,Sydney
JAG,retail,Australia,1972-01-01,Sydney
Sportscraft,retail,Australia,1914-01-01,Sydney
Sass & bide,retail,Australia,1999-01-01,Sydney
Gucci,fashion,Italy,1921-01-01,Florence
H&M,retail,Sweden,1947-10-04,Stockholm
Talbot Runhof,clothing industry,Germany,1992-01-01,Munich
