col0,col1,col2,col3
Kurgan Oblast,Russia,North Kazakhstan Region,Kurgan Oblast Flag
Magadan Oblast,Russia,Sakha Republic,flag of Magadan Oblast
Ulyanovsk Oblast,Russia,Samara Oblast,flag of Ulyanovsk Oblast
Omsk Oblast,Russia,North Kazakhstan Region,flag of Omsk Oblast
Tyumen Oblast,Russia,Komi Republic,flag of Tyumen Oblast
Sverdlovsk Oblast,Russia,Komi Republic,flag of Sverdlovsk Oblast
Kaluga Oblast,Russia,Moscow,Flag of Kaluga Oblast
Saratov Oblast,Russia,Samara Oblast,flag of Saratov Oblast
Tula Oblast,Russia,Moscow Oblast,flag of Tula Oblast
Bryansk Oblast,Russia,Smolensk Oblast,flag of Bryansk Oblast
