col0,col1,col2,col3,col4,col5
Merzopo,Merzbow,2018-11-30,noise,split album,Sub Rosa
Mort aux vaches,Deutsch Nepal,1994-01-01,industrial music,split album,Staalplaat
3 Great Guys,Paul Anka,1964-02-01,pop music,split album,RCA Records
"One Jug of Wine, Two Vessels",Bright Eyes,2004-01-20,indie rock,split album,Saddle Creek Records
"Oh Holy Fools: The Music of Son, Ambulance & Bright Eyes",Bright Eyes,2001-01-01,emo,split album,Saddle Creek Records
Insound Tour Support No.12,Bright Eyes,2000-01-01,indie rock,split album,Insound
Home Volume IV,Bright Eyes,2002-07-11,indie rock,split album,Post-Parlo
Free...,Acid King,2001-01-01,stoner rock,split album,Man's Ruin Records
Exchange,Against All Authority,1999-01-01,punk rock,split album,Sub City Records
Un'ora con loro,Mina,1965-10-01,contemporary folk music,split album,Ri-Fi
Death Metal,Helloween,1984-01-01,power metal,split album,Noise Records
