col0,col1,col2,col3,col4
American Hustle,Linus Sandgren,Michael Wilkinson,Not recommended for minors under 16,Heather Loeffler
Battle of Warsaw 1920,Sławomir Idziak,Magdalena Tesławska,Not recommended for minors under 16,Andrzej Haliński
300: Rise of an Empire,Simon Duggan,Alexandra Byrne,Not recommended for minors under 16,Patrick Tatopoulos
Child 44,Philippe Rousselot,Jenny Beavan,Not recommended for minors under 16,Jan Roelfs
Sunset,Mátyás Erdély,Györgyi Szakács,not recommended for children under 12,László Rajk Jr.
Blackhat,Stuart Dryburgh,Colleen Atwood,Not recommended for minors under 16,Guy Hendrix Dyas
Gemini Man,Dion Beebe,Suttirat Anne Larlarb,not recommended for children under 12,Guy Hendrix Dyas
Schindler's List,Janusz Kamiński,Anna B. Sheppard,Not recommended for minors under 16,Ewa Braun
The Shape of Water,Dan Laustsen,Luis Sequeira,not recommended for children under 12,Paul Denham Austerberry
Black Panther,Rachel Morrison,Ruth E. Carter,not recommended for children under 12,Hannah Beachler
