col0,col1,col2,col3,col4,col5,col6
osmium-184,0,183.952492949,osmium,tungsten-180,isotope of osmium,-44252.533
osmium-183,4.5,182.953124719,osmium,rhenium-183,isotope of osmium,-43664.043
osmium-182,0,181.952110153,osmium,rhenium-182,isotope of osmium,-44609.104
osmium-181,0.5,180.953247188,osmium,rhenium-181,isotope of osmium,-43549.963
osmium-180,0,179.95237993,osmium,rhenium-180,isotope of osmium,-44357.81
osmium-179,0.5,178.953816669,osmium,rhenium-179,isotope of osmium,-43019.495
osmium-178,0,177.9532533,osmium,tungsten-174,isotope of osmium,-43544.27
osmium-177,0.5,176.954957882,osmium,rhenium-177,isotope of osmium,-41956.462
osmium-176,0,175.954806,osmium,rhenium-176,isotope of osmium,-42097.94
osmium-175,2.5,174.956945105,osmium,rhenium-175,isotope of osmium,-40105.376
osmium-174,0,173.957063152,osmium,tungsten-170,isotope of osmium,-39995.416
osmium-173,2.5,172.959808375,osmium,tungsten-169,isotope of osmium,-37438.257
osmium-172,0,171.960017088,osmium,tungsten-168,isotope of osmium,-37243.842
osmium-171,2.5,170.963175348,osmium,tungsten-167,isotope of osmium,-34301.942
