col0,col1,col2,col3
RETRACTED: Intra-articular injection of methylprednisolone for reducing pain in knee osteoarthritis: A systematic review and meta-analysis.,Intra-articular injection of methylprednisolone for reducing pain in knee osteoarthritis: A systematic review and meta-analysis: Retraction,Creative Commons Attribution-NonCommercial 4.0 License,The Effect of Intra-articular Corticosteroids on Articular Cartilage: A Systematic Review
RETRACTED: Neuromuscular electrical stimulation in critically ill patients in the intensive care unit: a systematic review.,Retraction: Neuromuscular electrical stimulation in critically ill patients in the intensive care unit: a systematic review,Creative Commons Attribution 4.0 International,The PRISMA statement for reporting systematic reviews and meta-analyses of studies that evaluate healthcare interventions: explanation and elaboration
RETRACTED: Estrogens and neuroprotection in retinal diseases.,"Full retraction of Kumar DM, Simpkins JW, Agarwal N. Estrogens and neuroprotection in retinal diseases. Mol Vis. 2008;14:1480-6. Review",Creative Commons Attribution 3.0 Unported,"Hormone Replacement Therapy, Reproductive Factors, and Age-Related Macular Degeneration: The Salisbury Eye Evaluation Project"
Human papillomavirus type 16 E5 protein as a therapeutic target.,Retraction: Human papillomavirus type 16 e5 protein as a therapeutic target. Yonsei med j 2006;47(1):1-14.,Creative Commons Attribution-NonCommercial 3.0 Unported,Expression of human papillomavirus type 16 L1 protein in transgenic tobacco plants.
RETRACTED: Estrogens and neuroprotection in retinal diseases.,"Full retraction of Kumar DM, Simpkins JW, Agarwal N. Estrogens and neuroprotection in retinal diseases. Mol Vis. 2008;14:1480-6. Review",Creative Commons Attribution 3.0 Unported,Inhibitors of mitogen-activated protein kinases protect axotomized developing neurons.
Human papillomavirus type 16 E5 protein as a therapeutic target.,Retraction: Human papillomavirus type 16 e5 protein as a therapeutic target. Yonsei med j 2006;47(1):1-14.,Creative Commons Attribution-NonCommercial 3.0 Unported,The E7 oncoprotein of high-risk human papillomavirus type 16 enters the nucleus via a nonclassical Ran-dependent pathway.
RETRACTED: Estrogens and neuroprotection in retinal diseases.,"Full retraction of Kumar DM, Simpkins JW, Agarwal N. Estrogens and neuroprotection in retinal diseases. Mol Vis. 2008;14:1480-6. Review",Creative Commons Attribution 3.0 Unported,Does postmenopausal hormone replacement therapy affect intraocular pressure?
Human papillomavirus type 16 E5 protein as a therapeutic target.,Retraction: Human papillomavirus type 16 e5 protein as a therapeutic target. Yonsei med j 2006;47(1):1-14.,Creative Commons Attribution-NonCommercial 3.0 Unported,NHPV16 VLP vaccine induces human antibodies that neutralize divergent variants of HPV16.
RETRACTED: Estrogens and neuroprotection in retinal diseases.,"Full retraction of Kumar DM, Simpkins JW, Agarwal N. Estrogens and neuroprotection in retinal diseases. Mol Vis. 2008;14:1480-6. Review",Creative Commons Attribution 3.0 Unported,Photoreceptor preservation in the S334ter model of retinitis pigmentosa by a novel estradiol analog.
Human papillomavirus type 16 E5 protein as a therapeutic target.,Retraction: Human papillomavirus type 16 e5 protein as a therapeutic target. Yonsei med j 2006;47(1):1-14.,Creative Commons Attribution-NonCommercial 3.0 Unported,Expression of HPV16 E6 or E7 increases integration of foreign DNA.
RETRACTED: Estrogens and neuroprotection in retinal diseases.,"Full retraction of Kumar DM, Simpkins JW, Agarwal N. Estrogens and neuroprotection in retinal diseases. Mol Vis. 2008;14:1480-6. Review",Creative Commons Attribution 3.0 Unported,Estradiol attenuates programmed cell death after stroke-like injury.
Human papillomavirus type 16 E5 protein as a therapeutic target.,Retraction: Human papillomavirus type 16 e5 protein as a therapeutic target. Yonsei med j 2006;47(1):1-14.,Creative Commons Attribution-NonCommercial 3.0 Unported,Human papillomavirus type 16 E5 protein colocalizes with the antiapoptotic Bcl-2 protein.
RETRACTED: Estrogens and neuroprotection in retinal diseases.,"Full retraction of Kumar DM, Simpkins JW, Agarwal N. Estrogens and neuroprotection in retinal diseases. Mol Vis. 2008;14:1480-6. Review",Creative Commons Attribution 3.0 Unported,Association between vision loss and higher medical care costs in Medicare beneficiaries costs are greater for those with progressive vision loss.
Human papillomavirus type 16 E5 protein as a therapeutic target.,Retraction: Human papillomavirus type 16 e5 protein as a therapeutic target. Yonsei med j 2006;47(1):1-14.,Creative Commons Attribution-NonCommercial 3.0 Unported,The E5 gene of HPV-16 enhances keratinocyte immortalization by full-length DNA.
