col0,col1,col2,col3
Taghazout,Morocco,rural commune of Morocco,Agadir-Ida-Ou-Tanane Prefecture
Ronehamn,Sweden,minor locality in Sweden,Gotland Municipality
Nösund,Sweden,minor locality in Sweden,Bohuslän
Kovik,Sweden,minor locality in Sweden,Gotland Municipality
Gnisvärd,Sweden,minor locality in Sweden,Gotland Municipality
Kåseberga,Sweden,minor locality in Sweden,Ystad Municipality
Torekov,Sweden,urban area in Sweden,Båstad Municipality
Pittenweem,United Kingdom,small burgh,Fife
Little Lorraine,Canada,General Service Area,Cape Breton Regional Municipality
Nusfjord,Norway,cultural property,Flakstad
Laugen,Norway,fishing village,Nærøy
Banter fishing village,Germany,fishing village,Wilhelmshaven
Nordøyan,Norway,fishing village,Vikna
Helligpeder,Denmark,fishing village,Bornholm Regional Municipality
