col0,col1,col2,col3
2015 Chicago Sky season,women's sports,2015-01-01,basketball team season
2015 Atlanta Dream season,women's sports,2015-01-01,basketball team season
2015 Minnesota Lynx season,women's sports,2015-01-01,basketball team season
2014 Seattle Storm season,women's sports,2014-01-01,basketball team season
2016 Indiana Fever season,women's basketball,2016-01-01,basketball team season
2017 Chicago Sky season,women's sports,2017-01-01,basketball team season
2017 San Antonio Stars season,women's sports,2017-01-01,basketball team season
2017 Washington Mystics season,women's sports,2017-01-01,basketball team season
2017 Indiana Fever season,women's sports,2017-01-01,basketball team season
2017 Seattle Storm season,women's sports,2017-01-01,basketball team season
2017 Atlanta Dream season,women's sports,2017-01-01,basketball team season
2017 Los Angeles Sparks season,women's sports,2017-01-01,basketball team season
2016 Phoenix Mercury season,women's sports,2016-01-01,basketball team season
2016 San Antonio Stars season,women's sports,2016-01-01,basketball team season
