col0,col1,col2,col3,col4,col5,col6
Dresden Central Station,Germany,junction station,S 2 (Dresden),Dresden Mitte railway station,Arwed Roßbach,1898-04-16
Washington Union Station,United States of America,central station,Carolinian,L'Enfant Plaza,Daniel Burnham,1908-01-01
Berlin Hauptbahnhof,Germany,central station,InterCityExpress,Berlin Südkreuz station,"Gerkan, Marg and Partners",2006-03-26
Dresden Central Station,Germany,island railway station,S 2 (Dresden),Dresden Mitte railway station,Ernst Giese,1898-04-16
Berlin Hauptbahnhof,Germany,underground railway station,EuroCity,Berlin Zoologischer Garten railway station,"Gerkan, Marg and Partners",2006-03-26
Dresden Central Station,Germany,central station,S 2 (Dresden),Dresden Mitte railway station,Norman Foster,1898-04-16
Leipzig Hauptbahnhof,Germany,Fernbahnhof,RE 6,Lutherstadt Wittenberg railway station,Max Hans Kühne,1902-01-01
Dresden Central Station,Germany,island railway station,S 1 (Dresden),Dresden Mitte railway station,Ernst Giese,1898-04-16
Leipzig Hauptbahnhof,Germany,through station,RE 6,Lutherstadt Wittenberg railway station,Max Hans Kühne,1902-01-01
Dresden Central Station,Germany,railway station,S 1 (Dresden),Dresden Mitte railway station,Ernst Giese,1898-04-16
Leipzig Hauptbahnhof,Germany,shopping mall,RE 6,Lutherstadt Wittenberg railway station,Max Hans Kühne,1902-01-01
Berlin Hauptbahnhof,Germany,tower station,InterCityExpress,Berlin Bellevue station,Meinhard von Gerkan,2006-03-26
Zürich Hauptbahnhof,Switzerland,underground railway station,Railjet,Zurich Altstetten railway station,Jakob Friedrich Wanner,1847-08-09
