col0,col1,col2,col3,col4,col5,col6
Geodude,40,20,Pokémon universe,brown,list of Pokémon introduced in Generation I,rock-type Pokémon
Trapinch,70,15,Pokémon universe,brown,list of Pokémon introduced in Generation III,ground-type Pokémon
Rhyhorn,100,115,Pokémon universe,gray,list of Pokémon introduced in Generation I,ground-type Pokémon
Onix,880,210,Pokémon universe,gray,list of Pokémon introduced in Generation I,ground-type Pokémon
Dugtrio,70,333,Pokémon universe,brown,list of Pokémon introduced in Generation I,ground-type Pokémon
Gabite,1.4,56,Pokémon universe,blue,list of Pokémon introduced in Generation IV,ground-type Pokémon
Steelix,920,400,Pokémon universe,gray,list of Pokémon introduced in Generation II,ground-type Pokémon
Geodude,40,20,Pokémon universe,brown,list of Pokémon introduced in Generation I,ground-type Pokémon
Marshtomp,70,28,Pokémon universe,blue,list of Pokémon introduced in Generation III,ground-type Pokémon
Numel,70,24,Pokémon universe,yellow,list of Pokémon introduced in Generation III,ground-type Pokémon
Torterra,220,310,Pokémon universe,green,list of Pokémon introduced in Generation IV,ground-type Pokémon
Mamoswine,250,291,Pokémon universe,brown,list of Pokémon introduced in Generation IV,ground-type Pokémon
Camerupt,190,220,Pokémon universe,red,list of Pokémon introduced in Generation III,ground-type Pokémon
Torterra,220,310,Pokémon universe,green,list of Pokémon introduced in Generation IV,grass-type Pokémon
Marshtomp,70,28,Pokémon universe,blue,list of Pokémon introduced in Generation III,water-type Pokémon
