col0,col1,col2,col3
Düsseldorf,38,Lower Rhine Plain,North Rhine-Westphalia
Munich,519,Planungsregion München,Munich
Aschaffenburg,136,Frankfurt Rhine-Main Metropolitan Region,Aschaffenburg
Bayreuth,344,Nuremberg Metropolitan Region,Bayreuth
Karlsruhe,115,Upper Rhine Plain,Karlsruhe
Kassel,145,West Hesse Depression,Kassel
Osnabrück,63,Osnabrück Land,Osnabrück
Straubing,322,Gäuboden,Regenkreis
Weimar,208,Thuringian Basin,Kreis Weimar-Land
Kempten,674,Allgäu,Illerkreis
Aschaffenburg,138,Frankfurt Rhine-Main Metropolitan Region,Grand Duchy of Frankfurt
Landshut,393,Lower Bavarian Upland,Bavaria-Landshut
