col0,col1,col2,col3,col4,col5
Marianne Schulte,Marianne Schulte,Singapore,26718,Hyundai Heavy Industries,11.5
Maersk Idaho,Maersk Idaho,United States of America,50698,Hyundai Heavy Industries,13.52
Katharina S,Carolina,Antigua and Barbuda,35824,Szczecin Shipyard,12.15
Sct Peru,Nyk Esperanza,Marshall Islands,25624,P+S Werften,11.4
Luna Maersk,Dal Stellenbosch,Denmark,50688,Odense Steel Shipyard,14
Spirit Of Piraeus,Centurion,Singapore,26047,"CSBC Corporation, Taiwan",11.01
Montevideo Express,Cscl Los Angeles,Liberia,66058,Samsung Heavy Industries,14
Newyorker,Mol Santos,Panama,25294,Samsung Heavy Industries,11.4
Diaporos,Cma Cgm Bizet,Liberia,73157,Hanjin Heavy Industries & Construction,14.3
Hanjin Vienna,Cma Cgm Vancouver,Germany,65918,Hanjin Heavy Industries & Construction,14
Hanjin Athens,Conti Fremantle,Germany,66278,Hanjin Heavy Industries & Construction,14
Oakland Express,Kuala Lumpur Express,Hong Kong,54437,Hyundai Heavy Industries,13.55
Msc Annick,Dalian Express,Panama,40306,Hyundai Heavy Industries,12.52
Maersk Idaho,Gosport Maersk,United States of America,50698,Hyundai Heavy Industries,13.52
