col0,col1,col2,col3,col4
V* V598 Ori,Orion variable,10.506,emission-line star,Orion
[BE74] 6,long period variable,12.64,emission-line star,Dorado
LHA 120-S 147,long period variable,15.47,emission-line star,Mensa
UCAC2 32149298,eclipsing binary star,15.2,emission-line star,Orion
HD 87643,Orion variable,9.5,emission-line star,Carina
HD 50064,luminous blue variables,8.3,emission-line star,Monoceros
V1429 Aquilae,luminous blue variables,9.89,emission-line star,Aquila
Gamma Cassiopeiae,shell star,2.39,emission-line star,Cassiopeia
Beta Canis Minoris,shell star,2.89,emission-line star,Canis Minor
Eta Carinae,luminous blue variables,6.21,emission-line star,Carina
Pistol Star,luminous blue variables,7.291,emission-line star,Sagittarius
Gamma Cassiopeiae,shell star,2.39,gamma-ray source,Cassiopeia
Eta Carinae,luminous blue variables,6.21,sub-millimetric source,Carina
