col0,col1,col2,col3
"2014 Vuelta a España, Stage 10","2014 Vuelta a España, Stage 9",road bicycle racing,Tony Martin
"2019 New Zealand Cycle Classic, Stage 3","2019 New Zealand Cycle Classic, Stage 2",road bicycle racing,Jensen Plowright
"2019 New Zealand Cycle Classic, Stage 4","2019 New Zealand Cycle Classic, Stage 3",road bicycle racing,Jesse Featonby
"2019 New Zealand Cycle Classic, Stage 5","2019 New Zealand Cycle Classic, Stage 4",road bicycle racing,Aaron Gate
"2019 New Zealand Cycle Classic, Stage 4","2019 New Zealand Cycle Classic, Stage 3",road bicycle racing,Aaron Gate
"2019 New Zealand Cycle Classic, Stage 3","2019 New Zealand Cycle Classic, Stage 2",road bicycle racing,Aaron Gate
"2019 Tour de Bretagne Féminin, stage 2","2019 Tour de Bretagne Féminin, stage 1",road bicycle racing,Anna Henderson
"2019 Tour de Bretagne Féminin, stage 4","2019 Tour de Bretagne Féminin, stage 3",road bicycle racing,Stine Borgli
"2019 Tour de Bretagne Féminin, stage 2","2019 Tour de Bretagne Féminin, stage 1",road bicycle racing,Stine Borgli
"2018 Tour du Maroc, Stage 8","2018 Tour du Maroc, Stage 7",road bicycle racing,David Rivière
"2019 Tour de Bretagne Féminin, stage 4","2019 Tour de Bretagne Féminin, stage 3",road bicycle racing,Audrey Cordon
"2019 Tour de Bretagne Féminin, stage 2","2019 Tour de Bretagne Féminin, stage 1",road bicycle racing,Audrey Cordon
"Tour Femenino de Venezuela II 2019, stage 2","Tour Femenino de Venezuela II 2019, stage 1",road bicycle racing,Angie González
"2019 Tour de Bretagne Féminin, stage 4","2019 Tour de Bretagne Féminin, stage 3",road bicycle racing,Kirsten Wild
