col0,col1,col2,col3,col4
Vuelta al Táchira 2020,Carlos Gálviz,Juan José Ruiz,2020-01-19,Jhonathan Camargo
Vuelta al Táchira 2019,Jimmi Briceño,Orluis Aular,2019-01-18,Jimmi Briceño
Vuelta al Táchira 2020,Jhonathan Camargo,Kevin Rivera,2020-01-19,Jhonathan Camargo
Vuelta al Táchira 2019,Jimmi Briceño,Jimmi Briceño,2019-01-18,Jimmi Briceño
Vuelta al Táchira 2020,Jhonathan Camargo,Juan José Ruiz,2020-01-19,Jhonathan Camargo
2018 Vuelta al Táchira,José Serpa,Franklin Chacón,2018-01-21,Manuel Medina
Vuelta al Táchira 2019,Jimmi Briceño,Luis Mora,2019-01-18,Jimmi Briceño
2018 Vuelta al Táchira,José Serpa,Franklin Chacón,2018-01-21,Heiner Parra
Vuelta al Táchira 2020,Leonel Quintero,Leonel Quintero,2020-01-19,Leonel Quintero
2018 Vuelta al Táchira,José Serpa,Cristhian Talero,2018-01-21,Manuel Medina
Vuelta al Táchira 2020,Carlos Gálviz,Deportivo Táchira,2020-01-19,Yurgen Ramírez
