col0,col1,col2,col3
General Trias,tropical monsoon climate,City of General Trias,Rosario
Tagaytay,tropical monsoon climate,City of Tagaytay,Mendez
Imus,tropical monsoon climate,City of Imus,Kawit
Bacoor,tropical monsoon climate,City of Bacoor,Kawit
Tagaytay,tropical monsoon climate,City of Tagaytay,Indang
San Pedro,tropical monsoon climate,City of San Pedro,General Mariano Alvarez
Biñan,tropical monsoon climate,City of Biñan,Carmona
Tagaytay,tropical monsoon climate,City of Tagaytay,Amadeo
General Trias,tropical monsoon climate,City of General Trias,Amadeo
Tagaytay,tropical monsoon climate,City of Tagaytay,Alfonso
Calamba,tropical monsoon climate,City of Calamba,Santo Tomas
Tagaytay,tropical monsoon climate,City of Tagaytay,Laurel
Mabalacat,tropical monsoon climate,City of Mabalacat,Bamban
San Fernando,tropical monsoon climate,City of San Fernando,Santo Tomas
Muñoz,tropical monsoon climate,Science City of Muñoz,Talavera
