col0,col1,col2,col3,col4,col5
Aceh Tengah,4318.39,Atu Lintang,Aceh,1956-01-01,1624
Aceh Tamiang,1956.72,Banda Mulia,Aceh,2002-01-01,37
Aceh Jaya,3812.99,Panga,Aceh,2002-01-01,749
Aceh Besar,2969,Krueng Barona Jaya,Aceh,1956-01-01,45
Aceh Tengah,4318.39,Lut Tawar,Aceh,1956-01-01,1624
Aceh Besar,2969,Mesjid Raya,Aceh,1956-01-01,45
Aceh Jaya,3812.99,Jaya,Aceh,2002-01-01,749
Aceh Besar,2969,Kuta Baro,Aceh,1956-01-01,45
Aceh Singkil,2185,Kota Baharu,Aceh,1999-01-01,37
Aceh Jaya,3812.99,Krueng Sabee,Aceh,2002-01-01,749
Aceh Singkil,2185,Suro Makmur,Aceh,1999-01-01,37
Aceh Jaya,3812.99,Sampoiniet,Aceh,2002-01-01,749
Aceh Tamiang,1956.72,Manyak Payed,Aceh,2002-01-01,37
Aceh Singkil,2185,Singkil Utara,Aceh,1999-01-01,37
