col0,col1,col2,col3
Kulturní dům Peklo,Jižní Předměstí,1907-01-01,Czech Republic
Národní dům,Místek,1900-01-01,Czech Republic
Dům kultury města Ostravy,Moravská Ostrava,1961-01-01,Czech Republic
Dům kultury Inwest,Pilsen 3,1986-01-01,Czech Republic
Municipal House,Přerov,1897-01-01,Czech Republic
Masarykův společenský dům,Mělník,1936-01-01,Czech Republic
Kulturní dům Peklo,Plzeň,1907-01-01,Czech Republic
Theater Fifty-Fifty,Erlangen,1989-01-01,Germany
Cultural Centre Indianilla Station,Mexico City,2006-01-01,Mexico
Absalons Kirke,Copenhagen Municipality,1934-09-02,Denmark
Kulturväven,Umeå Municipality,2014-11-21,Sweden
