col0,col1,col2,col3
Erasmusbrug,steel,bascule bridge,Erasmus
Paton Bridge,steel,road bridge,Evgeny Paton
Skansbron,reinforced concrete,road bridge,Söder skans
Enneüs Heerma Bridge,steel,road bridge,Enneüs Heerma
Rudolf Wissell Bridge,prestressed concrete,road bridge,Rudolf Wissell
Ponte Duca d'Aosta,stone,road bridge,"Prince Emanuele Filiberto, Duke of Aosta"
Albert Bridge,wrought iron,road bridge,"Albert, Prince Consort"
Max-Joseph Bridge,stone,road bridge,Maximilian I Joseph of Bavaria
Maslenica Bridge,steel,road bridge,Maslenica
Ludwig-Ferdinand-Brücke,iron,road bridge,Prince Ludwig Ferdinand of Bavaria
