col0,col1,col2,col3
From Ferring near Bovbjerg,sky,54.8,Hans Smidth
A forest lake surrounded by birches. Study,forest,23.5,Dankvart Dreyer
Study for The Mermaids,mermaid,42,Henry Luyten
Study of a blonde.,blond,59,Władysław Podkowiński
Frenzy,woman,46,Władysław Podkowiński
Study of a blonde.,woman,59,Władysław Podkowiński
Study of an Italian woman,woman,73.5,Leon Wyczółkowski
Study of a man in a hood.,man,17.5,Nikolaos Gyzis
Study of a male nude.,man,53,Józef Simmler
Portrait study of a lady.,woman,80,Józef Simmler
A study of a head.,man,38,Carolus-Duran
"Aurora, design for a ceiling decoration.",lion,83.5,Henryk Siemiradzki
