col0,col1,col2,col3,col4,col5
Eternally,Bing Crosby,English,Geoffrey Parsons,Terry's Theme,Terry's Theme
Deux petits chaussons,Mireille Mathieu,French,Jacques Larue,Terry's Theme,Terry's Theme
Il silenzio,Dalida,Italian,Tullio Romano,Il Silenzio,Il Silenzio
La Cloche,France Gall,French,Jack Wolf,My Boyfriend Got a Beatle Haircut,My Boyfriend Got a Beatle Haircut
Ne sois pas si bête,France Gall,French,Pierre Delanoë,Stand A Little Closer,Stand A Little Closer
Il Lago Maggiore,Wess,Italian,Étienne Roda-Gil,Le Lac Majeur,Le Lac Majeur
"Souvenirs, souvenirs",Johnny Hallyday,French,Cy Coben,Souvenirs,Souvenirs
The Wallflower,Etta James,English,Johnny Otis,"Work with Me, Annie","Work with Me, Annie"
Picnic,Andy Williams,English,Steve Allen,Theme from Picnic,Theme from Picnic
Have You Seen Her – Rap Version,MC Hammer,English,Barbara Acklin,Have You Seen Her,Have You Seen Her
Ad ogni costo,Vasco Rossi,Italian,Thom Yorke,Creep,Creep
