col0,col1,col2,col3
2018 Volta Limburg Classic,Volta Limburg Classic,2017 Volta Limburg Classic,Jan Tratnik
2017 Volta Limburg Classic,Volta Limburg Classic,2016 Volta Limburg Classic,Nick van der Lijke
2016 Volta Limburg Classic,Volta Limburg Classic,2015 Volta Limburg Classic,Philippe Gilbert
2014 Volta Limburg Classic,Volta Limburg Classic,2013 Volta Limburg Classic,Sonny Colbrelli
2010 Hel van het Mergelland,Volta Limburg Classic,2009 Hel van het Mergelland,Dominic Klemme
2009 Hel van het Mergelland,Volta Limburg Classic,2008 Hel van het Mergelland,Federico Canuti
2007 Hel van het Mergelland,Volta Limburg Classic,2006 Hel van het Mergelland,Sergey Lagutin
2005 Hel van het Mergelland,Volta Limburg Classic,2004 Hel van het Mergelland,Stefan Schumacher
2011 Hel van het Mergelland,Volta Limburg Classic,2010 Hel van het Mergelland,Samuel Dumoulin
2013 Volta Limburg Classic,1.1,2012 Volta Limburg Classic,Paul Martens
2012 Volta Limburg Classic,1.1,2011 Hel van het Mergelland,Pavel Brutt
