col0,col1,col2,col3,col4
NGC 3113,[TSK2008] 1009,J2000.0,1837-02-05,1082
NGC 877,[T2015] nest 200784,J2000.0,1784-10-14,3911
NGC 115,[T2015] nest 200497,J2000.0,1834-09-25,1831
NGC 991,[T2015] nest 200208,J2000.0,1785-09-10,1528
NGC 961,[T2015] nest 200208,J2000.0,1880-11-27,1297
NGC 521,[T2015] nest 200184,J2000.0,1785-10-08,4947.7
NGC 296,[T2015] nest 200070,J2000.0,1784-09-12,5645
NGC 1264,[T2015] nest 200001,J2000.0,1884-10-19,3324
NGC 5501,[T2015] nest 100730,J2000.0,1828-04-13,7563
NGC 3979,[T2015] nest 100479,J2000.0,1881-04-23,5965
NGC 4525,[T2015] nest 100065,J2000.0,1785-01-01,1175
NGC 5346,[T2015] nest 100039,J2000.0,1881-05-18,2507
NGC 3691,[T2015] nest 100023,J2000.0,1784-03-14,1078
NGC 3659,[T2015] nest 100023,J2000.0,1784-03-14,1285
NGC 3806,[DZ2015b] 633,J2000.0,1862-04-21,3401
