col0,col1,col2,col3,col4,col5
Jasan v Přídolí,360,Czech Republic,Fraxinus excelsior,22,Přídolí
Jasan ztepilý v České Kamenici,465,Czech Republic,solitary,33,Česká Kamenice
Jasan u Turyňského rybníka,340,Czech Republic,solitary,14,Kamenné Žehrovice
Jasany v Hostouni,320,Czech Republic,solitary,18,Hostouň
Jasan v Třebusicích,270,Czech Republic,solitary,20,Třebusice
Jasan u Krombergerova pavilonu,290,Czech Republic,solitary,20,Písek
Jasan ztepilý v České Kamenici,465,Czech Republic,remarkable tree,33,Česká Kamenice
Jasan u Turyňského rybníka,340,Czech Republic,remarkable tree,14,Kamenné Žehrovice
Jasany v Hostouni,320,Czech Republic,remarkable tree,18,Hostouň
Jasan v Třebusicích,270,Czech Republic,remarkable tree,20,Třebusice
