col0,col1,col2,col3
Anqing Yangtze River Bridge,Yangtze,Anqing Railway Bridge,Anqing
Yunyang Yangtze River Bridge,Yangtze,Fengjie Yangtze River Bridge,Yunyang County
Dafosi Bridge,Yangtze,Cuntan Yangtze River Bridge,Chongqing
Elbebrücken Niederwartha,Elbe,Eisenbahnbrücke Meißen,Radebeul
Puente del Alamillo,Guadalquivir,Puente de la Barqueta,Seville
Elbebrücken Niederwartha,Elbe,Eisenbahnbrücke Meißen,Dresden
Hungerford Bridge and Golden Jubilee Bridges,River Thames,Waterloo Bridge,London
Vasco da Gama Bridge,Tagus river,25 de Abril Bridge,Parque das Nações
Chongryu Bridge,Taedong River,Rungra Bridge,Moranbong-guyok
New Europe Bridge,Danube,Danube Bridge,Calafat
Chongryu Bridge,Taedong River,Rungra Bridge,Taedonggang-guyok
New Europe Bridge,Danube,Danube Bridge,Vidin
