col0,col1,col2,col3
Silz,rural municipality of Austria,2560,Inn
Unternberg,rural municipality of Austria,1035,Mur
Wenns,rural municipality of Austria,2044,Pitze
Jerzens,rural municipality of Austria,975,Pitze
Mittelberg,rural municipality of Austria,4962,Breitach
Unterperfuss,rural municipality of Austria,224,Inn
Rietz,rural municipality of Austria,2313,Inn
Mötz,rural municipality of Austria,1219,Inn
Pill,rural municipality of Austria,1174,Inn
Feistritz bei Knittelfeld,rural municipality of Austria,784,Mur
Sankt Margarethen im Lungau,rural municipality of Austria,725,Mur
Wiesing,rural municipality of Austria,2124,Inn
