col0,col1,col2,col3
2019 Deutschland Tour,Nils Politt,Joshua Huppertz,Jenthe Biermans
2018 Deutschland Tour,Nils Politt,Nick van der Lijke,Kévin Van Melsen
2019 Deutschland Tour,Nils Politt,Sonny Colbrelli,Alexey Lutsenko
2018 Deutschland Tour,Nils Politt,Maximilian Schachmann,Matej Mohorič
2019 Deutschland Tour,Nils Politt,Joshua Huppertz,Alexey Lutsenko
2018 Deutschland Tour,Nils Politt,Nick van der Lijke,Matej Mohorič
2019 Deutschland Tour,Nils Politt,Remco Evenepoel,Alexey Lutsenko
2018 Deutschland Tour,Nils Politt,Nick van der Lijke,Vasil Kiryienka
2019 Deutschland Tour,Nils Politt,Jasper Stuyven,Julian Alaphilippe
2018 Deutschland Tour,Nils Politt,Álvaro Hodeg,Matej Mohorič
2019 Deutschland Tour,Nils Politt,Sonny Colbrelli,Jenthe Biermans
2018 Deutschland Tour,Nils Politt,Pascal Ackermann,Matej Mohorič
2019 Deutschland Tour,Nils Politt,Cees Bol,Jenthe Biermans
