col0,col1,col2,col3
Melissa Duck,female,Baby Looney Tunes,fictional duck
Bubba the Caveduck,male,DuckTales,fictional duck
Herbert the Duck,male,Dungeon,fictional duck
Huey,male,DuckTales,comics character
Herbert the Duck,male,Donjon Zénith,comics character
Quacula,male,Quacula,anthropomorphic character
Yakky Doodle,male,Yakky Doodle,anthropomorphic character
Launchpad McQuack,male,Darkwing Duck,television character
Darkwing Duck,male,Darkwing Duck,television character
Quacula,male,Quacula,animated character
Launchpad McQuack,male,Darkwing Duck,animated character
Yakky Doodle,male,Yakky Doodle,animated character
Darkwing Duck,male,Darkwing Duck,animated character
Quacula,male,Quacula,fictional duck
Howard the Duck,male,Howard the Duck,fictional duck
