col0,col1,col2,col3,col4,col5,col6
Government of the 18th Dáil,Government of the 19th Dáil,1969-01-01,1965-01-01,Éamon de Valera,1965-01-01,cabinet
Government of the 17th Dáil,Government of the 18th Dáil,1965-01-01,1961-01-01,Éamon de Valera,1961-01-01,cabinet
Government of the 11th Dáil,Government of the 12th Dáil,1944-01-01,1943-01-01,Douglas Hyde,1943-01-01,cabinet
Government of the 12th Dáil,Government of the 13th Dáil,1948-01-01,1944-01-01,Douglas Hyde,1944-01-01,cabinet
Government of the 30th Dáil,Government of the 31st Dáil,2011-01-01,2007-01-01,Mary McAleese,2007-01-01,cabinet
Government of the 28th Dáil,Government of the 29th Dáil,2002-01-01,1997-01-01,Mary Robinson,1997-01-01,cabinet
Rafael Erich's cabinet,Juho Vennola's second cabinet,1921-04-09,1920-03-15,Kaarlo Juho Ståhlberg,1920-01-01,cabinet
J. B. M. Hertzog government,Second Jan Smuts government,1929-01-01,1924-01-01,George V,1924-01-01,Cabinet of South Africa
Government of the 19th Dáil,Government of the 20th Dáil,1973-01-01,1969-01-01,Éamon de Valera,1969-01-01,government
Government of the 18th Dáil,Government of the 19th Dáil,1969-01-01,1965-01-01,Éamon de Valera,1965-01-01,government
Government of the 17th Dáil,Government of the 18th Dáil,1965-01-01,1961-01-01,Éamon de Valera,1961-01-01,government
Stolojan I Cabinet,Văcăroiu I Cabinet,1992-01-01,1991-01-01,Ion Iliescu,1991-01-01,Cabinet of Romania
Roman I Cabinet,Roman II Cabinet,1990-01-01,1989-01-01,Ion Iliescu,1989-01-01,Cabinet of Romania
