col0,col1,col2,col3
Archangel Michael,cycle of paintings,wood,Jesus Christ
St. Barbara Altarpiece,cycle of paintings,wood,Saint Barbara
Greverade Triptych,cycle of paintings,oil paint,Crucifixion in the arts
Pine Trees,cycle of paintings,wood,fog
Altarpiece of Santos-o-Novo,polyptych,oil paint,resurrection of Jesus
Archangel Michael,polyptych,wood,Jesus Christ
St. Barbara Altarpiece,polyptych,wood,Saint Barbara
Pine Trees,byōbu,ink,fog
Diptych of Jean Carondelet,diptych,wood,Jan II Carondelet
Greverade Triptych,triptych,oil paint,Crucifixion in the arts
Altarpiece of Santos-o-Novo,reredos,oil paint,resurrection of Jesus
Archangel Michael,reredos,wood,Jesus Christ
St. Barbara Altarpiece,reredos,wood,Saint Barbara
Isenheim Altarpiece,group of sculptures,oil paint,music
Beethoven Frieze,cycle of paintings,graphite,human
