col0,col1,col2,col3,col4,col5
Imperatriz Airport,1981-01-01,285370,Imperatriz,Imperatriz,Maranhão
Porto Seguro Airport,1982-01-01,1721142,Porto Seguro,Porto Seguro,Bahia
Araçatuba Airport,1991-01-01,85285,Araçatuba,Araçatuba,São Paulo
Paulo Afonso Airport,1972-01-01,13161,Paulo Afonso,Paulo Afonso,Bahia
Bonito Airport,2005-01-01,13519,Bonito,Bonito,Mato Grosso do Sul
Petrolina Airport,1981-10-28,483596,Petrolina,Petrolina,Petrolina
Ponta Porã International Airport,1955-01-01,3745,Ponta Porã,Ponta Porã,Mato Grosso do Sul
Bom Jesus da Lapa Airport,1955-01-01,0,Bom Jesus da Lapa,Bom Jesus da Lapa,Bahia
Governador Jorge Teixeira de Oliveira International Airport,1973-01-01,828139,Jorge Teixeira de Oliveira,Porto Velho,Rondônia
Cabo Frio International Airport,1998-01-01,41025,Cabo Frio,Cabo Frio,Rio de Janeiro
Assis Airport,1967-01-01,978,Assis,Assis,São Paulo
Cherbourg – Maupertus Airport,1939-01-01,2510,Cherbourg-Octeville,Cherbourg-Octeville,Gonneville-Le Theil
São Carlos Airport,1972-01-01,0,São Carlos,São Carlos,São Paulo
São José dos Campos Airport,1950-01-01,38275,São José dos Campos,São José dos Campos,São José dos Campos
