col0,col1,col2,col3,col4,col5,col6
Alice Through the Looking Glass,PG,Team Todd,170000000,widescreen,Jennifer Todd,Geraldine James
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",PG,The Jim Henson Company,28000000,2.35:1,Lisa Henson,Joel Johnstone
Alice Through the Looking Glass,PG,Team Todd,170000000,widescreen,Joe Roth,Matt Wilman
The BFG,PG,Walt Disney Pictures,140000000,2.35:1,Steven Spielberg,Bill Hader
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",PG,Walt Disney Pictures,28000000,2.35:1,Lisa Henson,Marc Abbink
The BFG,PG,Walden Media,140000000,2.35:1,Frank Marshall,Rafe Spall
Saving Mr. Banks,PG-13,Walt Disney Pictures,35000000,2.35:1,Alison Owen,Tom Hanks
Cinderella,PG,Allison Shearmur Productions,95000000,2.35:1,David Barron,Ben Chaplin
Alice Through the Looking Glass,PG,Team Todd,170000000,widescreen,Tim Burton,Oliver Hawkes
Star Wars: Episode I – The Phantom Menace,PG,Lucasfilm,115000000,2.35:1,Rick McCallum,Rick McCallum
The BFG,PG,DreamWorks,140000000,2.35:1,Steven Spielberg,Kyle Maloney
