col0,col1,col2,col3,col4,col5,col6,col7
Singapore,Prime Minister of Singapore,528139406172,left,Brockhaus and Efron Encyclopedic Dictionary,Southeast Asia,flag of Singapore,719.1
Marshall Islands,President of the Marshall Islands,225626108,right,Armenian Soviet Encyclopedia,Micronesia,flag of the Marshall Islands,181.43
Palau,President of Palau,322763812,right,Great Soviet Encyclopedia,Micronesia,flag of Palau,465.550362
Samoa,Prime Minister of Samoa,1304499154,left,Catholic Encyclopedia,Polynesia,flag of Samoa,2842
Saint Lucia,Prime Minister of Saint Lucia,2501304108,left,Brockhaus and Efron Encyclopedic Dictionary,Lesser Antilles,flag of Saint Lucia,617.012867
Dominican Republic,President of the Dominican Republic,172957186977,right,Catholic Encyclopedia,Latin America,flag of Dominican Republic,48670.82
Seychelles,President of Seychelles,2810841936,left,Brockhaus and Efron Encyclopedic Dictionary,East Africa,flag of the Seychelles,459
Comoros,President of Comoros,2239088328,right,Armenian Soviet Encyclopedia,East Africa,flag of Comoros,2034
New Zealand,Prime Minister of New Zealand,195339966888,left,Catholic Encyclopedia,Australasia,flag of New Zealand,268021
Bahrain,Prime Minister of Bahrain,71208280289,right,Brockhaus and Efron Encyclopedic Dictionary,Middle East,flag of Bahrain,765.004788
Kiribati,President of Kiribati,254334992,left,Armenian Soviet Encyclopedia,Micronesia,flag of Kiribati,811
