col0,col1,col2,col3,col4
Banawa,994,Indonesia,Donggala,Donggala
Toboali,563.84,Indonesia,Bangka Selatan,Bangka Selatan
Jepara,167.67,Indonesia,Jepara,Jepara
Purwakarta,971.72,Indonesia,Purwakarta,Purwakarta
Namlea,951.15,Indonesia,Buru,Buru
Tigaraksa,52.798,Indonesia,Tangerang,Tangerang
Mungkid,10,Indonesia,Magelang,Magelang
Kebumen,52.7,Indonesia,Kebumen,Kebumen
Brebes,80.96,Indonesia,Brebes,Brebes
Singkawang,504,Indonesia,West Kalimantan,Sambas
Atambua,56.1,Indonesia,Belu,Belu
Kotagede,3.07,Indonesia,Yogyakarta,Mataram Sultanate
