col0,col1,col2,col3
Copley Medal,George Shuckburgh-Evelyn,Copley Medal,"Sir Godfrey Copley, 2nd Baronet"
Fields Medal,Gerd Faltings,Fields Medal,John Charles Fields
Copley Medal,James D. Watson,Copley Medal,"Sir Godfrey Copley, 2nd Baronet"
Rumford Medal,Louis Pasteur,Rumford Medal,Benjamin Thompson
Hughes Medal,Niels Bohr,Hughes Medal,David Edward Hughes
Henry Draper Medal,Otto Struve,Henry Draper Medal,Henry Draper
Benjamin Franklin Medal,John C. Mather,Benjamin Franklin Medal,Benjamin Franklin
Rumford Medal,Benjamin Thompson,Rumford Medal,Benjamin Thompson
De Morgan Medal,Mary Cartwright,De Morgan Medal,Augustus De Morgan
Euler Medal,Horst Sachs,Euler Medal,Leonhard Euler
Dijkstra Prize,Edsger W. Dijkstra,Dijkstra Prize,Edsger W. Dijkstra
