col0,col1,col2,col3,col4,col5,col6
1975 Mexican Badminton Championships,Mexican Badminton Championships,Mexico,badminton,national championship,1976 Mexican Badminton Championships,WikiProject Badminton/tournament focus list
1974 Mexican Badminton Championships,Mexican Badminton Championships,Mexico,badminton,national championship,1975 Mexican Badminton Championships,WikiProject Badminton/tournament focus list
1973 Mexican Badminton Championships,Mexican Badminton Championships,Mexico,badminton,national championship,1974 Mexican Badminton Championships,WikiProject Badminton/tournament focus list
1972 Mexican Badminton Championships,Mexican Badminton Championships,Mexico,badminton,national championship,1973 Mexican Badminton Championships,WikiProject Badminton/tournament focus list
1971 Mexican Badminton Championships,Mexican Badminton Championships,Mexico,badminton,national championship,1972 Mexican Badminton Championships,WikiProject Badminton/tournament focus list
1970 Mexican Badminton Championships,Mexican Badminton Championships,Mexico,badminton,national championship,1971 Mexican Badminton Championships,WikiProject Badminton/tournament focus list
1937 Mexican Badminton Championships,Mexican Badminton Championships,Mexico,badminton,national championship,1938 Mexican Badminton Championships,WikiProject Badminton/tournament focus list
1969 Mexican Badminton Championships,Mexican Badminton Championships,Mexico,badminton,national championship,1970 Mexican Badminton Championships,WikiProject Badminton/tournament focus list
1968 Mexican Badminton Championships,Mexican Badminton Championships,Mexico,badminton,national championship,1969 Mexican Badminton Championships,WikiProject Badminton/tournament focus list
1967 Mexican Badminton Championships,Mexican Badminton Championships,Mexico,badminton,national championship,1968 Mexican Badminton Championships,WikiProject Badminton/tournament focus list
1965 Mexican Badminton Championships,Mexican Badminton Championships,Mexico,badminton,national championship,1966 Mexican Badminton Championships,WikiProject Badminton/tournament focus list
1963 Mexican Badminton Championships,Mexican Badminton Championships,Mexico,badminton,national championship,1964 Mexican Badminton Championships,WikiProject Badminton/tournament focus list
1962 Mexican Badminton Championships,Mexican Badminton Championships,Mexico,badminton,national championship,1963 Mexican Badminton Championships,WikiProject Badminton/tournament focus list
1961 Mexican Badminton Championships,Mexican Badminton Championships,Mexico,badminton,national championship,1962 Mexican Badminton Championships,WikiProject Badminton/tournament focus list
1960 Mexican Badminton Championships,Mexican Badminton Championships,Mexico,badminton,national championship,1961 Mexican Badminton Championships,WikiProject Badminton/tournament focus list
