col0,col1,col2,col3,col4,col5,col6
Aranea,Claude Pichaureau,Aimé De Lignière,John Bogaerts,John Bogaerts,20,Andrée Marlière
"Presto, Vivo e Lento",Darius Milhaud,Gilbert Serres,Mimi Peetermans,Mimi Peetermans,20,Andrée Marlière
Freule Julie,Ture Rangström,Aimé De Lignière,Sven Erixson,Sven Erixson,45,Andrée Marlière
Judith,Renier van der Velden,Patricia Carey,Germinal Casado,Germinal Casado,24,Andrée Marlière
Aranea,Claude Pichaureau,Aimé De Lignière,John Bogaerts,John Bogaerts,20,Janine Charrat
Amelia,Stanley Weiner,Aimé De Lignière,Herman Markard,Herman Markard,36,Jeanne Brabants
"Presto, Vivo e Lento",Darius Milhaud,Gilbert Serres,Mimi Peetermans,Mimi Peetermans,20,Jeanne Brabants
Judith,Renier van der Velden,Angelito Lozano,Germinal Casado,Germinal Casado,24,Jeanne Brabants
The Submerged Cathedral,Claude Debussy,Jean-Jacques Vidal,Jiří Kylián,Jiří Kylián,20,Arlette van Boven
Brandenburg Drie,Johann Sebastian Bach,Frieda Brijs,Joop Stokvis,Joop Stokvis,18,Charles Czarny
