col0,col1,col2,col3
initialism,literary studies,technical term,abbreviation
criminal perpetrator,criminal law,technical term,perpetrator
Apport,private law,technical term,fee
anoxia,geochemistry,technical term,hypoxia
magnetic field strength,Magnetostatics,technical term,physical quantity
anoxia,geochemistry,disease,hypoxia
argotism,argot,sociolinguistics term,word
PaCO2,medicine,biomedical measurand,partial pressure
Firar,jurisprudence,technical term,crime
moral character,personality psychology,technical term,behavior
PaCO2,medicine,technical term,partial pressure
Trama,geology,technical term,sedimentary rock
WGRP,advertising,technical term,Gross rating point
argotism,argot,technical term,word
watercraft rowing,maritime transport,technical term,manual drive
