col0,col1,col2,col3
Estádio do Dragão,heritage without legal protection,F.C. Porto,cultural heritage
Westfalenhallen,architectural heritage monument in North Rhine-Westphalia,Dortmund,music venue
Subiaco Oval,State Registered Place,Subiaco Football Club,stadium
Rose Bowl,National Historic Landmark,Rose Bowl Game,stadium
Estadio José Pérez Colmenares,National historical monument of Venezuela,Tigres de Aragua,stadium
Westfalenhallen,architectural heritage monument in North Rhine-Westphalia,Dortmund,stadium
Subiaco Oval,State Registered Place,Subiaco Football Club,heritage site
Estadio Luna Park,National historical monument of Argentina,T4F – Time For Fun,indoor arena
Harvard Stadium,National Historic Landmark,Harvard Crimson,stadium
Yale Bowl,National Historic Landmark,Yale Bulldogs,stadium
Estadio Luna Park,National historical monument of Argentina,T4F – Time For Fun,stadium
Wembley Arena,Grade II listed building,All England Badminton Championships,multi-purpose hall
