col0,col1,col2,col3,col4,col5,col6
1982 Edgbaston Cup,1982-06-13,grass court,Birmingham,1982 WTA Tour,1982-01-01,tennis tournament edition
1996 DFS Classic,1996-06-16,grass court,Birmingham,1996 WTA Tour,1996-01-01,tennis tournament edition
2008 DFS Classic,2008-07-15,grass,Birmingham,2008 WTA Tour,2008-01-01,tennis tournament edition
1989 Dow Classic,1989-06-18,grass court,Birmingham,1989 WTA Tour,1989-01-01,Birmingham Classic
2004 DFS Classic,2004-06-13,grass,Birmingham,2004 WTA Tour,2004-01-01,Birmingham Classic
2003 DFS Classic,2003-06-15,grass,Birmingham,2003 WTA Tour,2003-01-01,Birmingham Classic
1998 DFS Classic,1998-06-14,grass court,Birmingham,1998 WTA Tour,1998-01-01,Birmingham Classic
1994 DFS Classic,1994-06-12,grass court,Birmingham,1994 WTA Tour,1994-01-01,Birmingham Classic
1990 Dow Classic,1990-06-17,grass court,Birmingham,1990 WTA Tour,1990-01-01,Birmingham Classic
1987 Dow Chemical Classic,1987-06-14,grass court,Birmingham,1987 Virginia Slims World Championship Series,1987-01-01,Birmingham Classic
1986 Edgbaston Cup,1986-06-15,grass court,Birmingham,1986 Virginia Slims World Championship Series,1986-01-01,Birmingham Classic
1985 Edgbaston Cup,1985-06-16,grass court,Birmingham,1985 Virginia Slims World Championship Series,1985-01-01,Birmingham Classic
